,0.0,1.0,accuracy,macro avg,weighted avg
precision,0.8373983739837398,0.7678571428571429,0.8156424581005587,0.8026277584204413,0.8129229686151609
recall,0.8879310344827587,0.6825396825396826,0.8156424581005587,0.7852353585112206,0.8156424581005587
f1-score,0.8619246861924686,0.7226890756302521,0.8156424581005587,0.7923068809113604,0.8129199740951523
support,116.0,63.0,0.8156424581005587,179.0,179.0
